,Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
170,257,22,1,6,6,6,7,6,6,1,1,2,6,6,6
171,258,23,1,2,3,3,5,5,6,1,1,3,5,4,1
172,259,23,1,7,7,7,6,6,7,2,3,1,6,5,3
173,261,22,1,6,6,6,6,6,6,2,3,3,7,6,4
174,262,23,1,4,4,4,7,6,5,4,4,4,7,5,3
175,263,23,1,4,5,5,6,5,5,4,5,5,5,5,5
176,265,23,1,7,7,6,7,6,6,2,4,5,6,6,6
177,266,23,1,4,4,5,7,6,6,2,4,4,4,6,7
178,267,23,1,4,3,5,5,5,5,4,5,4,7,7,7
179,268,23,1,7,7,7,5,6,7,2,1,1,7,6,4
180,269,23,1,7,6,5,7,7,7,1,1,2,7,7,7
181,272,23,1,5,6,5,5,6,6,2,2,3,6,5,3
182,273,23,1,7,7,7,6,7,7,1,3,3,6,5,1
183,274,23,1,7,7,7,7,7,6,1,1,1,7,7,7
184,275,23,1,7,7,7,6,7,7,3,2,3,7,7,7
185,276,23,1,7,7,7,6,7,7,1,1,4,7,6,4
186,277,23,1,5,6,5,4,6,6,2,3,2,5,5,4
187,279,23,1,3,3,4,4,4,3,2,3,4,1,3,2
188,280,23,1,5,6,5,5,6,6,7,5,6,7,7,6
189,281,23,1,2,1,2,3,4,4,5,5,4,7,7,7
190,282,23,1,6,7,6,6,6,6,3,3,3,6,5,3
191,284,23,1,5,6,6,5,6,6,2,3,5,5,4,2
192,285,23,1,4,7,7,6,7,6,4,2,4,7,6,4
193,286,23,1,6,5,5,6,7,7,2,4,4,5,6,7
194,290,23,1,7,7,7,6,7,7,1,2,3,6,5,4
195,291,22,1,6,7,7,4,7,5,2,3,3,5,5,4
196,292,22,1,6,6,5,5,5,6,2,2,3,6,5,4
197,293,22,1,7,6,6,5,5,6,3,4,5,7,7,7
198,294,22,1,4,6,6,6,6,6,2,3,4,5,5,4
199,295,22,1,5,7,5,5,6,6,2,3,2,4,4,3
200,302,23,1,6,4,7,5,6,6,4,5,4,4,4,2
201,303,23,1,6,5,6,6,3,4,2,2,3,6,5,1
202,304,22,1,3,2,4,5,3,3,1,3,2,4,4,3
203,305,23,1,6,6,7,7,6,6,2,3,3,6,5,2
204,306,23,1,4,4,5,6,6,5,2,2,2,5,4,2
205,307,22,1,4,5,5,6,6,5,2,2,2,4,4,6
206,308,23,1,5,5,5,5,6,6,4,5,4,5,5,4
207,309,23,1,6,6,7,7,6,6,2,2,2,7,5,6
208,310,23,1,6,6,6,6,7,6,2,1,2,5,4,6
209,312,23,1,4,5,4,5,5,5,2,2,3,5,5,4
210,315,23,1,5,6,6,6,6,6,2,2,4,7,6,5
211,316,23,2,6,4,7,6,6,6,2,2,4,5,5,4
